ensembl_gene_id,external_gene_name,entrezgene_id,gene_biotype,description
ENSG00000148677,ANKRD1,27063,protein_coding,ankyrin repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:15819]
ENSG00000152689,RASGRP3,25780,protein_coding,RAS guanyl releasing protein 3 [Source:HGNC Symbol;Acc:HGNC:14545]
ENSG00000154175,ABI3BP,25890,protein_coding,ABI family member 3 binding protein [Source:HGNC Symbol;Acc:HGNC:17265]
ENSG00000154309,DISP1,84976,protein_coding,dispatched RND transporter family member 1 [Source:HGNC Symbol;Acc:HGNC:19711]
ENSG00000155465,SLC7A7,9056,protein_coding,solute carrier family 7 member 7 [Source:HGNC Symbol;Acc:HGNC:11065]
ENSG00000155962,CLIC2,1193,protein_coding,chloride intracellular channel 2 [Source:HGNC Symbol;Acc:HGNC:2063]
ENSG00000156042,CFAP70,118491,protein_coding,cilia and flagella associated protein 70 [Source:HGNC Symbol;Acc:HGNC:30726]
ENSG00000157429,ZNF19,7567,protein_coding,zinc finger protein 19 [Source:HGNC Symbol;Acc:HGNC:12981]
ENSG00000157429,ZNF19,124903710,protein_coding,zinc finger protein 19 [Source:HGNC Symbol;Acc:HGNC:12981]
ENSG00000159915,ZNF233,353355,protein_coding,zinc finger protein 233 [Source:HGNC Symbol;Acc:HGNC:30946]
ENSG00000163406,SLC15A2,6565,protein_coding,solute carrier family 15 member 2 [Source:HGNC Symbol;Acc:HGNC:10921]
ENSG00000163870,TPRA1,131601,protein_coding,transmembrane protein adipocyte associated 1 [Source:HGNC Symbol;Acc:HGNC:30413]
ENSG00000166348,USP54,159195,protein_coding,ubiquitin specific peptidase 54 [Source:HGNC Symbol;Acc:HGNC:23513]
ENSG00000167600,CYP2S1,29785,protein_coding,cytochrome P450 family 2 subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:15654]
ENSG00000168016,TRANK1,9881,protein_coding,tetratricopeptide repeat and ankyrin repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:29011]
ENSG00000168916,ZNF608,57507,protein_coding,zinc finger protein 608 [Source:HGNC Symbol;Acc:HGNC:29238]
ENSG00000171992,SYNPO,11346,protein_coding,synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]
ENSG00000173947,CIMAP3,128344,protein_coding,ciliary microtubule associated protein 3 [Source:HGNC Symbol;Acc:HGNC:27009]
ENSG00000174080,CTSF,8722,protein_coding,cathepsin F [Source:HGNC Symbol;Acc:HGNC:2531]
ENSG00000174125,TLR1,7096,protein_coding,toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]
ENSG00000177839,PCDHB9,56127,protein_coding,protocadherin beta 9 [Source:HGNC Symbol;Acc:HGNC:8694]
ENSG00000184371,CSF1,1435,protein_coding,colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]
ENSG00000187244,BCAM,4059,protein_coding,basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]
ENSG00000196267,ZNF836,162962,protein_coding,zinc finger protein 836 [Source:HGNC Symbol;Acc:HGNC:34333]
ENSG00000196693,ZNF33B,7582,protein_coding,zinc finger protein 33B [Source:HGNC Symbol;Acc:HGNC:13097]
ENSG00000197054,ZNF763,284390,protein_coding,zinc finger protein 763 [Source:HGNC Symbol;Acc:HGNC:27614]
ENSG00000197208,SLC22A4,6583,protein_coding,solute carrier family 22 member 4 [Source:HGNC Symbol;Acc:HGNC:10968]
ENSG00000197415,VEPH1,79674,protein_coding,ventricular zone expressed PH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25735]
ENSG00000197479,PCDHB11,56125,protein_coding,protocadherin beta 11 [Source:HGNC Symbol;Acc:HGNC:8682]
ENSG00000198246,SLC29A3,55315,protein_coding,solute carrier family 29 member 3 [Source:HGNC Symbol;Acc:HGNC:23096]
ENSG00000204252,HLA-DOA,3111,protein_coding,major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]
ENSG00000214708,,105371730,lncRNA,novel transcript, antisense to RHOT1
ENSG00000215790,SLC35E2A,NA,transcribed_unprocessed_pseudogene,solute carrier family 35 member E2A (pseudogene) [Source:HGNC Symbol;Acc:HGNC:20863]
ENSG00000219626,FAM228B,375190,protein_coding,family with sequence similarity 228 member B [Source:HGNC Symbol;Acc:HGNC:24736]
ENSG00000224032,EPB41L4A-AS1,NA,lncRNA,EPB41L4A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:30749]
ENSG00000224259,LINC01133,NA,lncRNA,long intergenic non-protein coding RNA 1133 [Source:HGNC Symbol;Acc:HGNC:49447]
ENSG00000226200,SGMS1-AS1,NA,lncRNA,SGMS1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49683]
ENSG00000227617,CERS6-AS1,100861402,lncRNA,CERS6 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44485]
ENSG00000228630,HOTAIR,100124700,lncRNA,HOX transcript antisense RNA [Source:HGNC Symbol;Acc:HGNC:33510]
ENSG00000231187,SYT15-AS1,102724593,lncRNA,SYT15 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56167]
ENSG00000233622,CYP2T1P,NA,transcribed_unitary_pseudogene,cytochrome P450 family 2 subfamily T member 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:18852]
ENSG00000249158,PCDHA11,56138,protein_coding,protocadherin alpha 11 [Source:HGNC Symbol;Acc:HGNC:8665]
ENSG00000253671,MTUS1-DT,101930275,lncRNA,MTUS1 divergent transcript [Source:NCBI gene (formerly Entrezgene);Acc:101930275]
ENSG00000253731,PCDHGA6,56109,protein_coding,protocadherin gamma subfamily A, 6 [Source:HGNC Symbol;Acc:HGNC:8704]
ENSG00000254231,WWP1-AS1,105375624,lncRNA,WWP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55520]
ENSG00000258461,,NA,protein_coding,novel transcript
ENSG00000258634,,NA,lncRNA,novel transcript, antisense to ALX3
ENSG00000259948,,NA,processed_pseudogene,VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa (VAPA) pseudogene
ENSG00000259976,,NA,lncRNA,novel transcript
ENSG00000260604,,NA,lncRNA,novel transcript
ENSG00000269837,IPO5P1,NA,transcribed_processed_pseudogene,importin 5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49687]
ENSG00000271383,NBPF19,101060226,protein_coding,NBPF member 19 [Source:HGNC Symbol;Acc:HGNC:31999]
ENSG00000273033,LINC02035,100129550,lncRNA,long intergenic non-protein coding RNA 2035 [Source:HGNC Symbol;Acc:HGNC:52875]
ENSG00000273489,,NA,lncRNA,novel transcript, antisense to MKLN1
ENSG00000274180,NATD1,256302,protein_coding,N-acetyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30770]
ENSG00000277496,SLCO4A1-AS2,NA,lncRNA,SLCO4A1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:56052]
ENSG00000277758,SYT15B,102724488,protein_coding,synaptotagmin 15B [Source:HGNC Symbol;Acc:HGNC:51487]
ENSG00000283646,LINC02009,105377068,lncRNA,long intergenic non-protein coding RNA 2009 [Source:HGNC Symbol;Acc:HGNC:52845]
